"Hospital Name","Address","City","District","Contact Number","Email","Type"
"Hospital 1","Address 1, Jharsuguda","Sambalpur","Balasore","+91-7733692782","hospital1@example.com","Government"
"Hospital 2","Address 2, Bhubaneswar","Cuttack","Balasore","+91-7858711781","hospital2@example.com","Government"
"Hospital 3","Address 3, Cuttack","Angul","Ganjam","+91-7816107600","hospital3@example.com","Government"
"Hospital 4","Address 4, Rourkela","Angul","Sambalpur","+91-7123667726","hospital4@example.com","Government"
"Hospital 5","Address 5, Puri","Rourkela","Sambalpur","+91-7699636248","hospital5@example.com","Government"
"Hospital 6","Address 6, Berhampur","Puri","Sundargarh","+91-7459056656","hospital6@example.com","Government"
"Hospital 7","Address 7, Balasore","Bhubaneswar","Mayurbhanj","+91-7839561228","hospital7@example.com","Government"
"Hospital 8","Address 8, Angul","Baripada","Ganjam","+91-7320808184","hospital8@example.com","Government"
"Hospital 9","Address 9, Berhampur","Berhampur","Ganjam","+91-7555415968","hospital9@example.com","Government"
"Hospital 10","Address 10, Cuttack","Bhubaneswar","Sambalpur","+91-7405564028","hospital10@example.com","Government"
"Hospital 11","Address 11, Baripada","Rourkela","Ganjam","+91-7474649722","hospital11@example.com","Government"
"Hospital 12","Address 12, Angul","Sambalpur","Ganjam","+91-7158317196","hospital12@example.com","Government"
"Hospital 13","Address 13, Bhubaneswar","Rourkela","Puri","+91-7727170838","hospital13@example.com","Government"
"Hospital 14","Address 14, Bhubaneswar","Puri","Cuttack","+91-7614967391","hospital14@example.com","Government"
"Hospital 15","Address 15, Puri","Bhubaneswar","Jharsuguda","+91-7701496486","hospital15@example.com","Government"
"Hospital 16","Address 16, Sambalpur","Berhampur","Jharsuguda","+91-7100058814","hospital16@example.com","Government"
"Hospital 17","Address 17, Rourkela","Angul","Khordha","+91-7720149774","hospital17@example.com","Government"
"Hospital 18","Address 18, Balasore","Sambalpur","Mayurbhanj","+91-7491908360","hospital18@example.com","Government"
"Hospital 19","Address 19, Sambalpur","Bhubaneswar","Balasore","+91-7234141383","hospital19@example.com","Government"
"Hospital 20","Address 20, Bhubaneswar","Berhampur","Puri","+91-7147128229","hospital20@example.com","Government"
"Hospital 21","Address 21, Cuttack","Cuttack","Puri","+91-7592773088","hospital21@example.com","Government"
"Hospital 22","Address 22, Bhubaneswar","Rourkela","Sundargarh","+91-7491239146","hospital22@example.com","Government"
"Hospital 23","Address 23, Sambalpur","Cuttack","Khordha","+91-7742418844","hospital23@example.com","Government"
"Hospital 24","Address 24, Cuttack","Sambalpur","Cuttack","+91-7670923490","hospital24@example.com","Government"
